index,name,layer,pos_x,pos_y,pos_z,rotation,value,tilt,height,thickness,style,width_ratio,degree,length,end_x,end_y,end_z,delta_x,delta_y,delta_z,start_x,start_y,start_z,pos_x1,pos_y1,pos_z1,width,minor_radius,minor_vector_x,minor_vector_y,minor_vector_z,area,radius_ratio,start_degree,major_radius,major_vector_x,major_vector_y,major_vector_z,centor_point_x,centor_point_y,centor_point_z,close,global_width,associative,radius,total_angle
1,PolyLine,0,,,,,,,,0,,,,100282.0848,,,,,,,,,,,,,,,,,,1250107277,,,,,,,,,,FALSE,0,,,
1,Line,ZST-1,,,,,,,,0,,,0,3790,101414.7209,46106.586,0,3790,0,0,97624.7209,46106.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Ellipse,ZST-1,,,,,,,,,,,,,,,,,,,,,,,,,,1010,-714.1778,714.1778,0,291134.6645,1,315,1010,714.1778,714.1778,0,101414.7209,45096.586,0,,,,,
1,Line,ZST-1,,,,,,,,0,,,270,3790,102424.7209,41306.586,0,0,-3790,0,102424.7209,45096.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,0,3480,105904.7209,41306.586,0,3480,0,0,102424.7209,41306.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,90,13080.0001,105904.7209,54386.586,0,0,13080.0001,0,105904.7209,41306.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,180,3480,102424.7209,54386.586,0,-3480,0,0,105904.7209,54386.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,270,3790,102424.7209,50596.586,0,0,-3790,0,102424.7209,54386.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Point,Defpoints,102064.7209,41306.586,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,Defpoints,106264.7209,41306.586,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,Defpoints,97264.7209,45746.586,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ellipse,ZST,,,,,,,,,,,,,,,,,,,,,,,,,,650,-459.6194,459.6194,0,120580.7232,1,315,650,459.6194,459.6194,0,101414.7209,45096.586,0,,,,,
1,Line,ZST,,,,,,,,0,,,0,4150,101414.7209,45746.586,0,4150,0,0,97264.7209,45746.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Point,Defpoints,97264.7209,49946.586,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ellipse,ZST,,,,,,,,,,,,,,,,,,,,,,,,,,650,-459.6194,-459.6194,0,120580.7232,1,135,650,-459.6194,459.6194,0,101414.7209,50596.586,0,,,,,
1,Line,ZST,,,,,,,,0,,,180,4150,97264.7209,49946.586,0,-4150,0,0,101414.7209,49946.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST,,,,,,,,0,,,270,4200,97264.7209,45746.586,0,0,-4200,0,97264.7209,49946.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST,,,,,,,,0,,,90,4150.0784,102064.7209,54746.586,0,0,4150.0784,0,102064.7209,50596.5076,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,270,3480,97624.7209,46106.586,0,0,-3480,0,97624.7209,49586.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,180,3790,97624.7209,49586.586,0,-3790,0,0,101414.7209,49586.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,270,382.6307,106264.721,40923.9553,0,0,-382.6307,0,106264.721,41306.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,270,2632.0644,102064.721,38674.5216,0,0,-2632.0644,0,102064.721,41306.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,102064.7209,41306.586,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,106264.721,41306.586,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,106264.7209,54746.586,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,102064.7209,54746.586,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,97264.7209,49946.586,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,73196.2887,78788.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,113841.7977,46440.5804,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,107736.8136,47521.8616,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST,,,,,,,,0,,,0,4200,106264.7209,54746.586,0,4200,0,0,102064.7209,54746.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,122622.0607,53009.9777,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,101254.6163,56794.462,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,102335.8976,62899.4461,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,67696.2887,78788.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,67696.2887,73088.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,78896.2887,74394.3232,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,84396.2887,88088.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,84396.2887,93788.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,0,8100,115934.2887,78188.0798,0,8100,0,0,107834.2887,78188.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,123703.3419,59114.9618,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,97264.7209,45746.586,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST,,,,,,,,0,,,270,3790.0784,102064.7209,41306.586,0,0,-3790.0784,0,102064.7209,45096.6644,0,,,,,,,,,,,,,,,,,,,,,,,
1,Ellipse,ZST-1,,,,,,,,,,,,,,,,,,,,,,,,,,1010,-714.1778,-714.1778,0,291134.6645,1,135,1010,-714.1778,714.1778,0,101414.7209,50596.586,0,,,,,
1,Line,0,,,,,,,,0,,,0,240,49482.9451,41974.2353,0,240,0,0,49242.9451,41974.2353,0,,,,,,,,,,,,,,,,,,,,,,,
